date,value
2017-01-01,329
2017-01-02,371
2017-01-03,460
2017-01-04,510
2017-01-05,582
2017-01-06,494
2017-01-07,461
2017-01-08,450
2017-01-09,347
2017-01-10,454
2017-01-11,465
2017-01-12,513
2017-01-13,414
2017-01-14,416
2017-01-15,390
2017-01-16,371
2017-01-17,419
2017-01-18,475
2017-01-19,489
2017-01-20,398
2017-01-21,357
2017-01-22,351
2017-01-23,265
2017-01-24,408
2017-01-25,539
2017-01-26,457
2017-01-27,397
2017-01-28,240
2017-01-29,259
2017-01-30,309
2017-01-31,346
2017-02-01,371
2017-02-02,395
2017-02-03,443
2017-02-04,504
2017-02-05,478
2017-02-06,372
2017-02-07,512
2017-02-08,462
2017-02-09,406
2017-02-10,372
2017-02-11,534
2017-02-12,511
2017-02-13,413
2017-02-14,517
2017-02-15,547
2017-02-16,539
2017-02-17,521
2017-02-18,627
2017-02-19,524
2017-02-20,368
2017-02-21,469
2017-02-22,609
2017-02-23,577
2017-02-24,606
2017-02-25,647
2017-02-26,648
2017-02-27,441
2017-02-28,480
2017-03-01,611
2017-03-02,489
2017-03-03,600
2017-03-04,638
2017-03-05,559
2017-03-06,375
2017-03-07,471
2017-03-08,504
2017-03-09,502
2017-03-10,572
2017-03-11,711
2017-03-12,639
2017-03-13,470
2017-03-14,608
2017-03-15,613
2017-03-16,688
2017-03-17,641
2017-03-18,764
2017-03-19,665
2017-03-20,401
2017-03-21,607
2017-03-22,645
2017-03-23,651
2017-03-24,676
2017-03-25,693
2017-03-26,667
2017-03-27,433
2017-03-28,580
2017-03-29,526
2017-03-30,709
2017-03-31,590
2017-04-01,726
2017-04-02,644
2017-04-03,487
2017-04-04,587
2017-04-05,630
2017-04-06,653
2017-04-07,718
2017-04-08,648
2017-04-09,634
2017-04-10,472
2017-04-11,660
2017-04-12,582
2017-04-13,709
2017-04-14,581
2017-04-15,794
2017-04-16,724
2017-04-17,534
2017-04-18,627
2017-04-19,648
2017-04-20,748
2017-04-21,635
2017-04-22,804
2017-04-23,743
2017-04-24,530
2017-04-25,566
2017-04-26,598
2017-04-27,731
2017-04-28,648
2017-04-29,883
2017-04-30,754
2017-05-01,595
2017-05-02,539
2017-05-03,603
2017-05-04,559
2017-05-05,532
2017-05-06,595
2017-05-07,611
2017-05-08,466
2017-05-09,417
2017-05-10,502
2017-05-11,630
2017-05-12,688
2017-05-13,834
2017-05-14,687
2017-05-15,525
2017-05-16,567
2017-05-17,652
2017-05-18,588
2017-05-19,646
2017-05-20,668
2017-05-21,703
2017-05-22,445
2017-05-23,512
2017-05-24,543
2017-05-25,628
2017-05-26,609
2017-05-27,699
2017-05-28,657
2017-05-29,479
2017-05-30,467
2017-05-31,573
2017-06-01,578
2017-06-02,613
2017-06-03,697
2017-06-04,680
2017-06-05,473
2017-06-06,636
2017-06-07,492
2017-06-08,583
2017-06-09,592
2017-06-10,710
2017-06-11,688
2017-06-12,473
2017-06-13,576
2017-06-14,547
2017-06-15,597
2017-06-16,588
2017-06-17,726
2017-06-18,654
2017-06-19,423
2017-06-20,551
2017-06-21,565
2017-06-22,582
2017-06-23,590
2017-06-24,645
2017-06-25,639
2017-06-26,400
2017-06-27,523
2017-06-28,544
2017-06-29,571
2017-06-30,663
2017-07-01,688
2017-07-02,586
2017-07-03,415
2017-07-04,557
2017-07-05,540
2017-07-06,606
2017-07-07,609
2017-07-08,667
2017-07-09,590
2017-07-10,385
2017-07-11,573
2017-07-12,562
2017-07-13,604
2017-07-14,622
2017-07-15,672
2017-07-16,659
2017-07-17,438
2017-07-18,545
2017-07-19,586
2017-07-20,558
2017-07-21,574
2017-07-22,644
2017-07-23,642
2017-07-24,451
2017-07-25,607
2017-07-26,592
2017-07-27,576
2017-07-28,570
2017-07-29,680
2017-07-30,604
2017-07-31,481
2017-08-01,555
2017-08-02,484
2017-08-03,610
2017-08-04,511
2017-08-05,618
2017-08-06,591
2017-08-07,490
2017-08-08,556
2017-08-09,522
2017-08-10,560
2017-08-11,638
2017-08-12,745
2017-08-13,646
2017-08-14,434
2017-08-15,527
2017-08-16,457
2017-08-17,600
2017-08-18,530
2017-08-19,723
2017-08-20,574
2017-08-21,430
2017-08-22,561
2017-08-23,571
2017-08-24,531
2017-08-25,589
2017-08-26,725
2017-08-27,673
2017-08-28,427
2017-08-29,537
2017-08-30,519
2017-08-31,568
2017-09-01,607
2017-09-02,725
2017-09-03,655
2017-09-04,446
2017-09-05,517
2017-09-06,469
2017-09-07,555
2017-09-08,552
2017-09-09,675
2017-09-10,659
2017-09-11,467
2017-09-12,555
2017-09-13,549
2017-09-14,588
2017-09-15,617
2017-09-16,736
2017-09-17,697
2017-09-18,512
2017-09-19,519
2017-09-20,544
2017-09-21,586
2017-09-22,615
2017-09-23,645
2017-09-24,670
2017-09-25,478
2017-09-26,538
2017-09-27,574
2017-09-28,671
2017-09-29,632
2017-09-30,681
2017-10-01,612
2017-10-02,462
2017-10-03,393
2017-10-04,271
2017-10-05,350
2017-10-06,421
2017-10-07,420
2017-10-08,442
2017-10-09,418
2017-10-10,377
2017-10-11,464
2017-10-12,502
2017-10-13,593
2017-10-14,621
2017-10-15,570
2017-10-16,440
2017-10-17,508
2017-10-18,494
2017-10-19,537
2017-10-20,495
2017-10-21,635
2017-10-22,639
2017-10-23,408
2017-10-24,549
2017-10-25,511
2017-10-26,566
2017-10-27,547
2017-10-28,636
2017-10-29,620
2017-10-30,392
2017-10-31,495
2017-11-01,473
2017-11-02,583
2017-11-03,544
2017-11-04,619
2017-11-05,561
2017-11-06,383
2017-11-07,416
2017-11-08,437
2017-11-09,431
2017-11-10,534
2017-11-11,624
2017-11-12,590
2017-11-13,378
2017-11-14,442
2017-11-15,452
2017-11-16,489
2017-11-17,505
2017-11-18,595
2017-11-19,504
2017-11-20,396
2017-11-21,395
2017-11-22,423
2017-11-23,353
2017-11-24,517
2017-11-25,580
2017-11-26,561
2017-11-27,382
2017-11-28,453
2017-11-29,476
2017-11-30,505
2017-12-01,504
2017-12-02,566
2017-12-03,524
2017-12-04,352
2017-12-05,372
2017-12-06,387
2017-12-07,516
2017-12-08,528
2017-12-09,654
2017-12-10,605
2017-12-11,253
2017-12-12,310
2017-12-13,365
2017-12-14,495
2017-12-15,585
2017-12-16,577
2017-12-17,525
2017-12-18,337
2017-12-19,409
2017-12-20,431
2017-12-21,514
2017-12-22,582
2017-12-23,671
2017-12-24,486
2017-12-25,358
2017-12-26,301
2017-12-27,377
2017-12-28,403
2017-12-29,479
2017-12-30,501
2017-12-31,433
2018-01-01,313
2018-01-02,309
2018-01-03,299
2018-01-04,371
2018-01-05,412
2018-01-06,466
2018-01-07,381
2018-01-08,265
2018-01-09,280
2018-01-10,318
2018-01-11,236
2018-01-12,273
2018-01-13,463
2018-01-14,457
2018-01-15,385
2018-01-16,359
2018-01-17,452
2018-01-18,453
2018-01-19,448
2018-01-20,532
2018-01-21,455
2018-01-22,276
2018-01-23,199
2018-01-24,217
2018-01-25,222
2018-01-26,251
2018-01-27,362
2018-01-28,352
2018-01-29,194
2018-01-30,345
2018-01-31,435
2018-02-01,474
2018-02-02,487
2018-02-03,483
2018-02-04,329
2018-02-05,198
2018-02-06,240
2018-02-07,317
2018-02-08,413
2018-02-09,449
2018-02-10,460
2018-02-11,369
2018-02-12,294
2018-02-13,426
2018-02-14,434
2018-02-15,389
2018-02-16,220
2018-02-17,252
2018-02-18,305
2018-02-19,239
2018-02-20,369
2018-02-21,326
2018-02-22,448
2018-02-23,441
2018-02-24,393
2018-02-25,400
2018-02-26,307
2018-02-27,394
2018-02-28,443
2018-03-01,550
2018-03-02,362
2018-03-03,511
2018-03-04,389
2018-03-05,389
2018-03-06,433
2018-03-07,375
2018-03-08,552
2018-03-09,411
2018-03-10,559
2018-03-11,540
2018-03-12,355
2018-03-13,507
2018-03-14,504
2018-03-15,508
2018-03-16,499
2018-03-17,587
2018-03-18,443
2018-03-19,345
2018-03-20,418
2018-03-21,422
2018-03-22,525
2018-03-23,488
2018-03-24,548
2018-03-25,561
2018-03-26,365
2018-03-27,448
2018-03-28,466
2018-03-29,565
2018-03-30,531
2018-03-31,616
2018-04-01,564
2018-04-02,387
2018-04-03,443
2018-04-04,468
2018-04-05,460
2018-04-06,462
2018-04-07,562
2018-04-08,578
2018-04-09,411
2018-04-10,458
2018-04-11,523
2018-04-12,585
2018-04-13,583
2018-04-14,660
2018-04-15,546
2018-04-16,443
2018-04-17,582
2018-04-18,472
2018-04-19,575
2018-04-20,570
2018-04-21,643
2018-04-22,570
2018-04-23,347
2018-04-24,437
2018-04-25,477
2018-04-26,490
2018-04-27,507
2018-04-28,600
2018-04-29,574
2018-04-30,462
2018-05-01,539
2018-05-02,419
2018-05-03,484
2018-05-04,495
2018-05-05,500
2018-05-06,433
2018-05-07,407
2018-05-08,376
2018-05-09,444
2018-05-10,530
2018-05-11,479
2018-05-12,608
2018-05-13,539
2018-05-14,433
2018-05-15,469
2018-05-16,446
2018-05-17,447
2018-05-18,523
2018-05-19,657
2018-05-20,584
2018-05-21,422
2018-05-22,442
2018-05-23,384
2018-05-24,427
2018-05-25,518
2018-05-26,628
2018-05-27,570
2018-05-28,358
2018-05-29,404
2018-05-30,496
2018-05-31,548
2018-06-01,530
2018-06-02,657
2018-06-03,562
2018-06-04,400
2018-06-05,519
2018-06-06,575
2018-06-07,452
2018-06-08,474
2018-06-09,595
2018-06-10,542
2018-06-11,376
2018-06-12,530
2018-06-13,502
2018-06-14,418
2018-06-15,496
2018-06-16,608
2018-06-17,572
2018-06-18,318
2018-06-19,405
2018-06-20,432
2018-06-21,511
2018-06-22,486
2018-06-23,579
2018-06-24,491
2018-06-25,400
2018-06-26,442
2018-06-27,433
2018-06-28,424
2018-06-29,566
2018-06-30,566
2018-07-01,465
2018-07-02,367
2018-07-03,394
2018-07-04,444
2018-07-05,462
2018-07-06,463
2018-07-07,588
2018-07-08,585
2018-07-09,385
2018-07-10,454
2018-07-11,469
2018-07-12,460
2018-07-13,449
2018-07-14,550
2018-07-15,478
2018-07-16,317
2018-07-17,451
2018-07-18,460
2018-07-19,461
2018-07-20,481
